empleado_id,area,salario_cop,fecha_ingreso,antiguedad_anios,tipo_contrato,sede,ausentismo_dias_anio,rotacion_riesgo,costo_total_cop,sobre_smlv
EMP-0123,Logística & Almacén,2890321,2015-07-15,11.1,Obra o labor,Tiendas,2,Bajo,4393287,2.03
EMP-0124,Logística & Almacén,3658442,2020-05-28,6.3,Indefinido,Planta Palmira,2,Medio,5560831,2.57
EMP-0125,Logística & Almacén,1431973,2015-06-20,11.2,Indefinido,Tiendas,13,Bajo,2176598,1.01
EMP-0126,Logística & Almacén,2910883,2018-03-29,8.4,Fijo,Planta Palmira,6,Alto,4424542,2.04
EMP-0127,Logística & Almacén,3180440,2023-07-29,3.1,Indefinido,Planta Palmira,5,Medio,4834268,2.23
EMP-0128,Logística & Almacén,3447836,2024-07-26,2.1,Fijo,Planta Palmira,0,Bajo,5240710,2.42
EMP-0129,Logística & Almacén,3855075,2019-12-31,6.7,Obra o labor,CD Yumbo,4,Bajo,5859714,2.71
EMP-0130,Logística & Almacén,1727003,2021-04-25,5.3,Fijo,Oficina Cali,8,Bajo,2625044,1.21
EMP-0131,Logística & Almacén,1654752,2020-11-11,5.8,Obra o labor,Planta Palmira,2,Bajo,2515223,1.16
EMP-0132,Logística & Almacén,2506857,2017-12-23,8.7,Fijo,Tiendas,1,Bajo,3810422,1.76
EMP-0133,Logística & Almacén,1765842,2024-11-23,1.8,Indefinido,Planta Palmira,8,Medio,2684079,1.24
EMP-0134,Logística & Almacén,2651171,2023-05-15,3.3,Indefinido,CD Yumbo,4,Medio,4029779,1.86
EMP-0135,Logística & Almacén,3467518,2017-06-03,9.2,Indefinido,CD Yumbo,7,Bajo,5270627,2.44
EMP-0136,Logística & Almacén,1561262,2024-09-22,1.9,Fijo,Planta Palmira,3,Bajo,2373118,1.1
EMP-0137,Logística & Almacén,1631970,2015-07-19,11.1,Indefinido,Planta Palmira,1,Bajo,2480594,1.15
EMP-0138,Tiendas,2440895,2015-11-16,10.8,Indefinido,Oficina Cali,1,Bajo,3710160,1.71
EMP-0139,Tiendas,3079469,2024-12-10,1.7,Indefinido,Planta Palmira,0,Medio,4680792,2.16
EMP-0140,Tiendas,2514353,2019-12-14,6.7,Indefinido,Planta Palmira,8,Medio,3821816,1.77
EMP-0141,Tiendas,1539339,2016-08-23,10.0,Indefinido,Planta Palmira,1,Bajo,2339795,1.08
EMP-0142,Tiendas,2725331,2015-01-14,11.6,Indefinido,Planta Palmira,6,Bajo,4142503,1.91
EMP-0143,Tiendas,1762807,2016-12-16,9.7,Indefinido,Tiendas,0,Bajo,2679466,1.24
EMP-0144,Tiendas,1652611,2021-07-31,5.1,Obra o labor,Tiendas,2,Medio,2511968,1.16
EMP-0145,Tiendas,1686913,2018-12-29,7.7,Indefinido,Planta Palmira,4,Bajo,2564107,1.19
EMP-0146,Tiendas,3015365,2021-06-03,5.2,Fijo,Planta Palmira,2,Bajo,4583354,2.12
EMP-0147,Tiendas,2969564,2016-12-18,9.7,Indefinido,Oficina Cali,1,Bajo,4513737,2.09
EMP-0148,Tiendas,2465065,2015-08-06,11.1,Indefinido,Planta Palmira,1,Bajo,3746898,1.73
EMP-0149,Tiendas,2230774,2021-05-29,5.3,Obra o labor,Planta Palmira,4,Medio,3390776,1.57
EMP-0150,Tiendas,3150258,2023-02-06,3.6,Obra o labor,Planta Palmira,1,Bajo,4788392,2.21
EMP-0151,Tiendas,1520731,2020-06-13,6.2,Indefinido,Oficina Cali,3,Bajo,2311511,1.07
EMP-0152,Tiendas,2422756,2025-06-30,1.2,Fijo,Planta Palmira,0,Bajo,3682589,1.7
EMP-0153,Tiendas,2567208,2015-05-20,11.3,Indefinido,CD Yumbo,2,Bajo,3902156,1.8
EMP-0154,Tiendas,1588263,2025-04-06,1.4,Indefinido,CD Yumbo,3,Alto,2414159,1.12
EMP-0155,Tiendas,1896345,2018-06-12,8.2,Indefinido,Tiendas,0,Bajo,2882444,1.33
EMP-0156,Tiendas,2990659,2021-12-15,4.7,Indefinido,Tiendas,2,Medio,4545801,2.1
EMP-0157,Tiendas,1772162,2024-05-12,2.3,Indefinido,Planta Palmira,6,Medio,2693686,1.24
EMP-0158,Tiendas,1691532,2025-05-08,1.3,Obra o labor,Planta Palmira,2,Bajo,2571128,1.19
EMP-0159,Tiendas,1777721,2020-02-07,6.6,Obra o labor,Planta Palmira,0,Bajo,2702135,1.25
EMP-0160,Tiendas,2650838,2021-03-31,5.4,Indefinido,Planta Palmira,2,Bajo,4029273,1.86
EMP-0161,Tiendas,2702922,2018-01-07,8.6,Indefinido,Planta Palmira,0,Bajo,4108441,1.9
EMP-0162,Tiendas,3183798,2020-09-18,5.9,Indefinido,Planta Palmira,1,Alto,4839372,2.24
EMP-0163,Tiendas,2520023,2025-04-04,1.4,Indefinido,Tiendas,3,Bajo,3830434,1.77
EMP-0164,Tiendas,3010300,2020-09-02,6.0,Indefinido,Tiendas,0,Bajo,4575656,2.11
EMP-0165,Tiendas,2646298,2025-07-14,1.1,Indefinido,CD Yumbo,11,Medio,4022372,1.86
EMP-0166,Tiendas,1711948,2021-11-05,4.8,Indefinido,Planta Palmira,3,Bajo,2602160,1.2
EMP-0167,Tiendas,2038739,2016-08-05,10.1,Indefinido,CD Yumbo,2,Bajo,3098883,1.43
EMP-0168,Tiendas,2743617,2015-12-08,10.7,Indefinido,Tiendas,9,Bajo,4170297,1.93
EMP-0169,Tiendas,2829488,2021-03-17,5.5,Fijo,Planta Palmira,0,Bajo,4300821,1.99
EMP-0170,Comercial & Trade,4182774,2024-07-19,2.1,Fijo,Planta Palmira,5,Bajo,6357816,2.94
EMP-0171,Comercial & Trade,4348066,2023-08-10,3.1,Indefinido,Oficina Cali,2,Bajo,6609060,3.05
EMP-0172,Comercial & Trade,4871847,2020-04-19,6.4,Indefinido,Planta Palmira,0,Medio,7405207,3.42
EMP-0173,Comercial & Trade,8991208,2021-05-18,5.3,Indefinido,Tiendas,1,Bajo,13666636,6.32
EMP-0174,Comercial & Trade,7334699,2021-08-07,5.1,Indefinido,Tiendas,19,Bajo,11148742,5.15
EMP-0175,Comercial & Trade,2393846,2016-04-13,10.4,Fijo,Planta Palmira,0,Medio,3638645,1.68
EMP-0176,Comercial & Trade,4403860,2017-02-19,9.5,Fijo,Oficina Cali,6,Bajo,6693867,3.09
EMP-0177,Comercial & Trade,7830549,2024-01-01,2.7,Indefinido,Tiendas,5,Medio,11902434,5.5
EMP-0178,Comercial & Trade,8688698,2019-02-16,7.5,Indefinido,Planta Palmira,3,Bajo,13206820,6.1
EMP-0179,Comercial & Trade,4714371,2023-06-17,3.2,Indefinido,Planta Palmira,4,Medio,7165843,3.31
EMP-0180,Comercial & Trade,4007397,2015-11-12,10.8,Indefinido,Planta Palmira,14,Bajo,6091243,2.82
EMP-0181,Comercial & Trade,8151473,2023-12-05,2.7,Indefinido,Tiendas,10,Bajo,12390238,5.73
EMP-0182,Comercial & Trade,6138944,2017-07-13,9.1,Fijo,Oficina Cali,0,Alto,9331194,4.31
EMP-0183,Comercial & Trade,8911052,2018-10-12,7.9,Fijo,Planta Palmira,0,Bajo,13544799,6.26
EMP-0184,Comercial & Trade,6856403,2023-08-29,3.0,Obra o labor,Planta Palmira,6,Bajo,10421732,4.82
EMP-0185,Comercial & Trade,8194084,2018-10-28,7.8,Indefinido,CD Yumbo,5,Medio,12455007,5.76
EMP-0186,Comercial & Trade,5913305,2017-04-21,9.4,Fijo,Planta Palmira,1,Bajo,8988223,4.15
EMP-0187,Comercial & Trade,7640453,2024-08-25,2.0,Indefinido,Tiendas,2,Bajo,11613488,5.37
EMP-0188,Comercial & Trade,5223227,2021-12-31,4.7,Obra o labor,Oficina Cali,3,Medio,7939305,3.67
EMP-0189,Comercial & Trade,3441980,2025-04-13,1.4,Fijo,Planta Palmira,17,Bajo,5231809,2.42
EMP-0190,Comercial & Trade,2536261,2024-09-14,2.0,Obra o labor,Tiendas,0,Bajo,3855116,1.78
EMP-0191,Comercial & Trade,3022762,2022-03-25,4.4,Fijo,Planta Palmira,1,Alto,4594598,2.12
EMP-0192,Comercial & Trade,7563119,2024-06-30,2.2,Fijo,Planta Palmira,2,Medio,11495940,5.31
EMP-0193,Comercial & Trade,4645573,2017-07-19,9.1,Indefinido,Planta Palmira,9,Bajo,7061270,3.26
EMP-0194,Comercial & Trade,4994657,2025-09-28,0.9,Obra o labor,Planta Palmira,3,Bajo,7591878,3.51
EMP-0195,Comercial & Trade,4737331,2021-07-19,5.1,Indefinido,CD Yumbo,3,Alto,7200743,3.33
EMP-0196,Comercial & Trade,3140985,2021-03-17,5.5,Obra o labor,Planta Palmira,0,Bajo,4774297,2.21
EMP-0197,Comercial & Trade,3620881,2018-10-08,7.9,Indefinido,Planta Palmira,1,Bajo,5503739,2.54
EMP-0198,Comercial & Trade,5828299,2016-07-17,10.1,Indefinido,Planta Palmira,2,Alto,8859014,4.09
EMP-0199,Marketing & Digital,6885666,2017-06-03,9.2,Indefinido,Oficina Cali,2,Bajo,10466212,4.84
EMP-0200,Marketing & Digital,4716064,2020-07-23,6.1,Indefinido,Planta Palmira,5,Alto,7168417,3.31
EMP-0201,Marketing & Digital,8582444,2023-01-22,3.6,Indefinido,Oficina Cali,3,Bajo,13045314,6.03
EMP-0202,Marketing & Digital,5692023,2021-07-05,5.2,Obra o labor,Planta Palmira,5,Bajo,8651874,4.0
EMP-0203,Marketing & Digital,5014864,2019-07-18,7.1,Indefinido,Planta Palmira,0,Bajo,7622593,3.52
EMP-0204,Marketing & Digital,3282518,2023-05-20,3.3,Obra o labor,Planta Palmira,2,Medio,4989427,2.31
EMP-0205,Marketing & Digital,2937388,2024-12-17,1.7,Fijo,Oficina Cali,6,Bajo,4464829,2.06
EMP-0206,Marketing & Digital,4217649,2021-10-05,4.9,Indefinido,Tiendas,4,Alto,6410826,2.96
EMP-0207,Marketing & Digital,2728525,2024-07-10,2.1,Indefinido,Tiendas,1,Medio,4147358,1.92
EMP-0208,Marketing & Digital,3208008,2017-01-12,9.6,Indefinido,Planta Palmira,1,Bajo,4876172,2.25
EMP-0209,Marketing & Digital,4456950,2024-12-27,1.7,Obra o labor,CD Yumbo,15,Bajo,6774564,3.13
EMP-0210,Marketing & Digital,6864106,2020-03-30,6.4,Indefinido,CD Yumbo,3,Medio,10433441,4.82
EMP-0211,Marketing & Digital,7306992,2021-10-11,4.9,Fijo,Tiendas,2,Bajo,11106627,5.13
EMP-0212,Marketing & Digital,3842681,2025-04-11,1.4,Fijo,CD Yumbo,0,Bajo,5840875,2.7
EMP-0213,Servicio al Cliente,1633987,2020-07-04,6.2,Indefinido,Planta Palmira,6,Bajo,2483660,1.15
EMP-0214,Servicio al Cliente,1503271,2024-06-26,2.2,Indefinido,Planta Palmira,16,Medio,2284971,1.06
EMP-0215,Servicio al Cliente,2179033,2016-11-12,9.8,Indefinido,Planta Palmira,5,Medio,3312130,1.53
EMP-0216,Servicio al Cliente,1592809,2018-03-14,8.5,Indefinido,Tiendas,1,Bajo,2421069,1.12
EMP-0217,Servicio al Cliente,2431857,2024-09-16,2.0,Indefinido,Tiendas,5,Bajo,3696422,1.71
EMP-0218,Servicio al Cliente,2472930,2016-09-24,9.9,Indefinido,Tiendas,12,Alto,3758853,1.74
EMP-0219,Servicio al Cliente,3087142,2017-03-17,9.5,Indefinido,Planta Palmira,0,Medio,4692455,2.17
EMP-0220,Servicio al Cliente,1446946,2017-07-27,9.1,Fijo,CD Yumbo,10,Bajo,2199357,1.02
EMP-0221,Servicio al Cliente,1656993,2020-10-04,5.9,Indefinido,Oficina Cali,1,Bajo,2518629,1.16
EMP-0222,Servicio al Cliente,1955683,2022-03-06,4.5,Fijo,Planta Palmira,10,Bajo,2972638,1.37
EMP-0223,Servicio al Cliente,1751899,2015-06-24,11.2,Fijo,Planta Palmira,6,Bajo,2662886,1.23
EMP-0224,Servicio al Cliente,1771520,2019-09-04,7.0,Fijo,CD Yumbo,0,Bajo,2692710,1.24
EMP-0225,Servicio al Cliente,2223768,2015-01-12,11.6,Indefinido,Tiendas,10,Bajo,3380127,1.56
EMP-0226,Compras & Comercio Ext.,2950569,2016-08-21,10.0,Indefinido,Planta Palmira,4,Bajo,4484864,2.07
EMP-0227,Compras & Comercio Ext.,7983954,2025-02-14,1.5,Fijo,Planta Palmira,7,Bajo,12135610,5.61
EMP-0228,Compras & Comercio Ext.,6680853,2022-03-18,4.5,Indefinido,Planta Palmira,0,Bajo,10154896,4.69
EMP-0229,Compras & Comercio Ext.,8166625,2015-12-30,10.7,Indefinido,Tiendas,1,Bajo,12413270,5.74
EMP-0230,Compras & Comercio Ext.,7956191,2024-01-09,2.6,Indefinido,Planta Palmira,6,Bajo,12093410,5.59
EMP-0231,Compras & Comercio Ext.,6340905,2023-02-18,3.5,Fijo,CD Yumbo,4,Bajo,9638175,4.45
EMP-0232,Compras & Comercio Ext.,2769169,2021-10-23,4.9,Indefinido,Tiendas,12,Bajo,4209136,1.95
EMP-0233,Compras & Comercio Ext.,5819432,2023-04-28,3.3,Fijo,Oficina Cali,10,Bajo,8845536,4.09
EMP-0234,Compras & Comercio Ext.,7763662,2023-07-26,3.1,Indefinido,Planta Palmira,8,Medio,11800766,5.45
EMP-0235,I+D e Innovación,3634736,2023-01-14,3.6,Indefinido,CD Yumbo,0,Bajo,5524798,2.55
EMP-0236,I+D e Innovación,4299938,2016-03-03,10.5,Indefinido,Planta Palmira,4,Bajo,6535905,3.02
EMP-0237,I+D e Innovación,4801549,2024-01-02,2.7,Obra o labor,Oficina Cali,7,Medio,7298354,3.37
EMP-0238,I+D e Innovación,4708049,2017-12-06,8.7,Indefinido,Planta Palmira,2,Bajo,7156234,3.31
EMP-0239,I+D e Innovación,5398260,2018-06-05,8.2,Indefinido,CD Yumbo,0,Bajo,8205355,3.79
EMP-0240,I+D e Innovación,10072634,2023-07-20,3.1,Indefinido,Planta Palmira,4,Bajo,15310403,7.08
EMP-0241,I+D e Innovación,7170232,2025-06-01,1.2,Indefinido,Planta Palmira,7,Bajo,10898752,5.04
